mileage_kmpl,engine_cc,fuel_type,owner_count,price_usd,brand,transmission,color,service_history,accidents_reported,insurance_valid,car_age
23.54,5000,Diesel,5,12256.44,Ford,Manual,Blue,No Record,0,Yes,4
15.97,1500,Petrol,2,6901.08,Nissan,Automatic,Red,Full,0,Yes,4
14.92,800,Diesel,4,1858.64,Ford,Manual,White,Partial,0,Yes,21
20.88,2000,Petrol,5,6916.32,Ford,Manual,Gray,No Record,1,Yes,3
17.25,1800,Petrol,2,8983.39,Honda,Manual,Blue,Full,0,Yes,3
23.61,1000,Petrol,3,6654.31,Hyundai,Manual,Silver,Full,0,Yes,15
19.85,2000,Petrol,5,6340.6,Kia,Automatic,White,No Record,1,Yes,16
14.88,800,Petrol,2,3263.63,Toyota,Manual,Black,Full,0,Yes,16
19.69,1200,Petrol,3,6564.08,Kia,Manual,Black,Full,0,Yes,12
13.49,1500,Petrol,3,4548.99,Chevrolet,Automatic,Gray,Partial,0,No,19
22.73,1200,Petrol,1,7396.53,Honda,Manual,Red,No Record,2,Yes,8
11.01,2000,Petrol,2,6603.26,Toyota,Manual,Silver,No Record,0,Yes,11
24.11,1500,Diesel,1,10558.87,Chevrolet,Automatic,Silver,Partial,0,Yes,6
19.6,800,Petrol,1,3727.01,Kia,Automatic,Black,Partial,0,Yes,28
17.18,1800,Electric,4,7775.41,Ford,Manual,Black,No Record,0,No,26
21.82,1800,Petrol,1,9200.45,Honda,Automatic,Gray,Full,0,Yes,12
20.56,4000,Diesel,1,10397.17,Honda,Manual,Gray,Partial,0,No,24
24.65,3000,Petrol,4,8650.95,Honda,Manual,Gray,Full,0,Yes,10
24.61,3000,Electric,4,9899.66,Tesla,Manual,Silver,No Record,0,No,22
19.76,1800,Petrol,5,4395.65,Toyota,Manual,Silver,Partial,0,Yes,24
13.64,3000,Diesel,1,8282.81,Ford,Manual,Red,Partial,0,Yes,13
15.29,5000,Petrol,3,8083.56,Tesla,Manual,Black,Full,1,No,27
17.64,2500,Diesel,4,8216.22,Kia,Manual,Silver,Partial,0,Yes,6
23.41,800,Petrol,2,6903.49,Chevrolet,Automatic,White,Full,0,Yes,3
15.72,2500,Diesel,5,5304.48,Honda,Automatic,White,Full,1,Yes,17
16.14,3000,Diesel,5,6862.02,Volkswagen,Automatic,White,No Record,0,Yes,13
27.24,1200,Electric,1,11413.96,Chevrolet,Manual,Blue,No Record,0,Yes,5
17.48,4000,Diesel,3,8191.43,Ford,Manual,White,Full,1,Yes,22
14.83,3000,Petrol,4,8248.22,Volkswagen,Manual,Silver,Full,1,No,5
21.88,1000,Petrol,2,8819.21,Ford,Manual,Blue,Full,0,No,10
17.72,2000,Diesel,1,7194.95,Nissan,Automatic,Gray,Partial,1,Yes,29
11.05,1500,Petrol,3,5150.71,Tesla,Manual,Black,Full,0,Yes,11
23.2,1200,Diesel,1,8327.32,Chevrolet,Automatic,Silver,Partial,1,Yes,3
14.26,2000,Petrol,1,6737.61,Ford,Manual,White,Full,0,Yes,16
18.22,5000,Diesel,5,12125.07,Hyundai,Manual,Gray,Full,1,No,3
17.66,4000,Diesel,2,8567.0,Chevrolet,Manual,Gray,Partial,2,Yes,24
19.15,1000,Petrol,2,5113.9,Ford,Manual,Black,No Record,1,Yes,19
7.04,5000,Diesel,2,12985.97,Honda,Manual,Gray,No Record,1,Yes,2
16.32,5000,Petrol,2,9291.24,Volkswagen,Manual,White,Partial,0,Yes,23
23.62,5000,Petrol,4,10490.67,Honda,Automatic,Red,Full,1,Yes,16
24.33,1800,Electric,4,6128.32,Ford,Manual,Blue,Full,0,Yes,28
13.04,2000,Petrol,2,5764.27,Toyota,Automatic,Gray,Partial,0,Yes,17
22.6,1500,Diesel,3,6549.19,Toyota,Manual,Black,Full,1,No,14
14.19,2500,Diesel,4,4597.91,Toyota,Manual,White,Full,0,No,27
16.13,1000,Diesel,4,5888.31,Nissan,Manual,Red,No Record,1,Yes,13
16.39,2500,Petrol,3,5042.59,Ford,Manual,Blue,Full,0,Yes,23
18.54,1000,Diesel,2,2193.27,Kia,Automatic,White,No Record,1,Yes,27
23.01,800,Petrol,1,4351.08,Nissan,Automatic,Silver,Full,0,Yes,29
19.32,1800,Petrol,4,4234.82,Ford,Automatic,Red,Full,1,Yes,25
17.37,1000,Electric,1,10738.88,BMW,Manual,Black,Partial,1,Yes,9
22.84,3000,Petrol,1,8821.93,Honda,Automatic,White,Full,0,Yes,21
13.99,3000,Diesel,3,7058.39,Chevrolet,Manual,Black,No Record,1,No,27
17.61,800,Petrol,2,5974.08,BMW,Manual,Silver,Partial,0,Yes,9
22.98,1500,Petrol,1,8841.47,Toyota,Automatic,Black,Partial,0,Yes,2
20.65,4000,Petrol,2,11386.9,BMW,Automatic,Red,Partial,0,No,13
15.67,1800,Petrol,5,6962.45,BMW,Manual,Blue,No Record,1,Yes,5
10.44,5000,Petrol,2,9338.5,Ford,Manual,White,No Record,0,Yes,19
19.55,2000,Petrol,3,5190.94,Tesla,Manual,Gray,Full,0,Yes,29
10.11,1200,Diesel,3,3953.91,Chevrolet,Manual,Blue,No Record,0,Yes,21
16.94,1800,Petrol,5,3280.74,Nissan,Automatic,White,Partial,0,Yes,27
23.89,800,Petrol,3,6286.89,Nissan,Manual,Black,Partial,1,Yes,17
20.98,3000,Petrol,2,10376.58,Ford,Automatic,Black,Full,0,Yes,15
7.88,2000,Diesel,2,5115.91,BMW,Manual,Red,Full,1,Yes,16
19.0,1000,Petrol,2,4968.68,Tesla,Automatic,Black,Partial,1,Yes,23
16.4,1500,Electric,3,8391.33,Nissan,Manual,Silver,Full,2,Yes,17
11.63,1500,Petrol,2,6147.01,Ford,Automatic,Red,Full,0,Yes,8
19.68,4000,Petrol,4,10939.12,Hyundai,Automatic,White,Full,0,Yes,3
15.54,4000,Petrol,5,7848.84,Hyundai,Manual,Black,Full,0,Yes,6
15.57,1800,Petrol,4,5345.06,Hyundai,Manual,White,Partial,0,Yes,23
18.62,1200,Diesel,2,7472.53,Hyundai,Manual,Black,Partial,0,Yes,10
14.87,800,Petrol,3,2462.72,Volkswagen,Manual,Red,Full,1,Yes,15
18.48,2000,Petrol,5,4981.61,Nissan,Automatic,Gray,Full,0,Yes,18
15.03,3000,Petrol,4,7840.34,Hyundai,Manual,Silver,Full,0,Yes,13
15.31,800,Petrol,2,5641.82,Volkswagen,Automatic,White,Partial,0,Yes,16
22.96,800,Electric,3,8842.66,Volkswagen,Manual,Blue,Partial,0,No,10
23.47,2500,Diesel,2,9419.87,Nissan,Manual,Black,Full,0,No,7
9.46,2500,Petrol,4,7652.52,BMW,Manual,Red,Full,1,Yes,5
21.74,1000,Petrol,4,5677.46,Volkswagen,Automatic,White,Full,1,No,6
24.99,1200,Diesel,5,8662.69,Honda,Manual,Red,No Record,1,Yes,3
25.79,1000,Diesel,3,7897.75,Ford,Manual,White,Full,2,Yes,3
20.6,2000,Diesel,1,9866.21,Toyota,Manual,Silver,Partial,1,Yes,3
12.71,3000,Petrol,2,8823.31,Chevrolet,Manual,Gray,Full,1,Yes,18
21.15,3000,Petrol,3,7364.01,Nissan,Manual,Black,Full,0,Yes,22
13.65,800,Diesel,1,8546.18,Volkswagen,Automatic,White,No Record,1,Yes,2
16.29,4000,Diesel,3,7599.75,Ford,Manual,Blue,No Record,1,Yes,16
19.92,3000,Diesel,2,9493.81,Tesla,Manual,Black,Partial,2,Yes,18
13.98,4000,Petrol,2,8360.51,Toyota,Manual,Black,Full,1,No,30
12.27,4000,Diesel,5,7168.89,Kia,Manual,Red,Partial,0,Yes,6
20.33,2000,Petrol,4,4666.03,Kia,Automatic,Black,Partial,0,Yes,24
27.34,1200,Petrol,4,5336.48,Hyundai,Automatic,White,Full,0,Yes,22
24.22,800,Diesel,4,7016.61,BMW,Automatic,Silver,Partial,0,No,7
21.54,3000,Diesel,5,6545.0,Ford,Automatic,White,Full,0,Yes,30
22.9,5000,Diesel,4,9050.98,BMW,Manual,Gray,Full,0,Yes,19
21.19,1200,Electric,3,7622.55,Chevrolet,Automatic,Black,Full,1,Yes,23
20.25,2500,Diesel,4,7340.05,Chevrolet,Manual,Blue,Partial,1,Yes,7
22.49,5000,Diesel,4,9640.03,Ford,Automatic,Gray,Full,0,Yes,20
11.16,2000,Diesel,2,7490.07,Nissan,Manual,Blue,No Record,0,No,12
19.0,1200,Petrol,5,3833.56,Ford,Manual,Gray,Full,1,Yes,14
17.6,2000,Diesel,5,4314.29,Ford,Manual,White,Full,0,Yes,23
18.39,1200,Petrol,4,2513.59,Hyundai,Manual,White,No Record,0,Yes,28
15.69,4000,Diesel,1,9336.12,Toyota,Manual,White,Full,1,No,28
20.6,800,Petrol,2,1488.02,Nissan,Manual,White,Full,0,Yes,30
13.91,3000,Petrol,4,9960.68,Chevrolet,Automatic,Red,Full,1,No,4
15.33,1800,Petrol,1,6778.35,Tesla,Automatic,White,Full,0,Yes,26
14.73,1500,Diesel,3,5112.66,Chevrolet,Manual,Red,Partial,2,Yes,21
22.32,800,Petrol,2,4655.34,Tesla,Manual,Black,Partial,0,Yes,24
17.94,4000,Petrol,5,8012.16,Volkswagen,Automatic,White,Full,2,Yes,5
15.7,4000,Diesel,1,9876.22,BMW,Manual,White,Full,1,Yes,22
16.13,1800,Petrol,4,8344.84,Ford,Manual,Blue,Full,2,Yes,3
18.02,4000,Petrol,1,9313.76,Chevrolet,Automatic,Black,No Record,0,Yes,24
26.11,5000,Petrol,5,9329.93,Volkswagen,Manual,Black,No Record,0,Yes,22
11.82,4000,Diesel,3,9081.22,Volkswagen,Manual,White,No Record,0,Yes,23
21.38,2500,Diesel,1,7248.65,Tesla,Automatic,Black,Full,1,No,19
20.36,3000,Diesel,4,6873.04,Ford,Automatic,Silver,No Record,1,Yes,29
13.59,800,Petrol,1,3508.18,Kia,Manual,Gray,Partial,1,Yes,30
25.33,1500,Petrol,3,6516.66,Honda,Automatic,Blue,Partial,1,Yes,15
20.7,5000,Petrol,1,15872.61,Kia,Manual,Black,Partial,2,Yes,8
15.46,5000,Electric,3,15287.96,Hyundai,Manual,Silver,Partial,0,Yes,8
8.7,1500,Diesel,3,6477.7,BMW,Manual,White,Partial,1,Yes,7
19.15,4000,Diesel,2,9058.47,Ford,Manual,Blue,Full,0,Yes,26
17.78,1200,Electric,2,7185.76,Tesla,Manual,Gray,Full,1,Yes,28
12.85,5000,Petrol,4,9244.95,Nissan,Manual,Blue,No Record,0,No,19
12.78,5000,Petrol,4,9491.03,Kia,Automatic,Blue,Full,0,Yes,23
22.34,800,Diesel,4,5779.98,Volkswagen,Manual,Silver,Full,1,Yes,9
8.22,1800,Diesel,3,4914.53,Ford,Manual,Red,Full,0,Yes,4
19.57,2500,Diesel,3,4723.77,Hyundai,Manual,Blue,Full,0,Yes,28
17.06,1500,Diesel,2,5099.0,BMW,Automatic,Silver,Partial,0,No,30
20.49,4000,Diesel,3,8792.4,Kia,Manual,Gray,Partial,0,Yes,28
16.53,2000,Diesel,2,4195.33,Honda,Automatic,Red,Partial,0,Yes,26
19.47,2000,Diesel,1,7042.82,Kia,Manual,Silver,Full,0,No,16
14.29,1200,Petrol,4,3499.95,Ford,Manual,Silver,Full,0,Yes,17
17.75,5000,Diesel,4,10036.61,Tesla,Automatic,Silver,Partial,0,Yes,28
20.45,5000,Diesel,5,6562.53,Nissan,Automatic,Blue,Full,0,No,30
18.75,1800,Diesel,2,4586.94,Nissan,Manual,White,No Record,0,Yes,26
19.9,5000,Petrol,5,11867.57,Kia,Manual,Gray,Partial,1,No,5
13.36,2000,Petrol,4,5109.32,Tesla,Automatic,Blue,Full,0,Yes,8
15.05,1500,Petrol,5,4237.77,Chevrolet,Manual,Gray,Full,0,No,17
15.13,1200,Electric,1,6621.91,Kia,Automatic,Gray,No Record,0,No,24
16.62,1800,Petrol,5,5906.24,Volkswagen,Manual,Blue,Full,0,Yes,4
24.79,2500,Petrol,1,7555.63,Volkswagen,Manual,Blue,Partial,1,Yes,22
16.23,2000,Diesel,4,5516.44,Nissan,Manual,Blue,Partial,0,Yes,16
12.28,1000,Diesel,3,3659.65,Nissan,Manual,Red,No Record,2,Yes,16
20.71,800,Diesel,2,7180.43,BMW,Automatic,Red,Full,0,Yes,5
24.73,1800,Electric,5,9413.59,Tesla,Automatic,Silver,Full,2,Yes,21
11.69,1800,Diesel,1,9169.91,Ford,Manual,Black,Full,0,Yes,3
27.86,2000,Diesel,4,8307.23,Hyundai,Manual,Gray,Partial,1,Yes,18
20.08,1200,Petrol,4,5484.11,Ford,Manual,Black,Full,0,No,12
23.17,800,Petrol,3,3959.19,Nissan,Automatic,White,Partial,0,Yes,24
25.34,1500,Diesel,4,6548.13,BMW,Manual,Silver,Partial,0,No,14
22.86,1500,Petrol,4,4960.39,Hyundai,Manual,Gray,Partial,0,Yes,11
17.45,5000,Diesel,3,13977.93,Tesla,Manual,White,Full,0,Yes,2
24.09,1000,Petrol,4,3115.8,Nissan,Manual,Red,Partial,1,No,27
19.27,3000,Petrol,1,7518.48,Tesla,Automatic,Blue,No Record,1,Yes,26
23.45,2000,Petrol,5,7691.52,Ford,Manual,White,Full,1,Yes,8
24.0,1200,Diesel,5,2957.44,Tesla,Manual,White,Partial,0,Yes,24
12.55,800,Petrol,1,3914.74,Nissan,Manual,Red,Partial,0,No,18
21.97,1200,Petrol,5,5076.83,BMW,Manual,Silver,Full,0,Yes,16
17.09,3000,Diesel,4,7137.36,Honda,Manual,Blue,Full,0,Yes,20
18.69,1500,Electric,5,12130.73,Ford,Manual,Blue,No Record,0,Yes,2
18.64,1200,Petrol,5,2879.82,Tesla,Automatic,Silver,Partial,0,No,27
18.43,1500,Diesel,4,5446.82,Hyundai,Automatic,Gray,Full,0,Yes,18
25.62,1500,Diesel,5,6699.4,Honda,Automatic,Red,No Record,0,Yes,24
11.17,1000,Petrol,4,5736.05,Chevrolet,Automatic,Gray,Partial,1,Yes,4
9.39,1500,Diesel,3,5659.79,Hyundai,Manual,Red,Full,1,No,12
8.33,4000,Petrol,3,6386.74,Kia,Manual,White,Partial,0,Yes,9
23.35,1500,Petrol,5,6864.9,Honda,Automatic,Black,Full,0,Yes,3
14.13,800,Diesel,3,2399.79,Chevrolet,Manual,Black,Full,1,Yes,29
18.66,800,Diesel,5,2177.79,Toyota,Automatic,Red,Full,0,Yes,21
17.43,800,Petrol,3,4454.46,Nissan,Automatic,Silver,Full,0,Yes,18
13.57,1800,Diesel,5,6796.85,Nissan,Automatic,Gray,No Record,0,No,6
22.26,2000,Diesel,2,9244.49,Hyundai,Automatic,Silver,Full,1,Yes,10
17.36,2000,Diesel,1,5874.48,Volkswagen,Manual,Black,Full,1,No,25
16.81,2000,Diesel,3,6659.85,Chevrolet,Manual,Gray,Partial,2,Yes,3
19.16,4000,Diesel,4,11086.06,Volkswagen,Manual,Silver,No Record,0,Yes,3
21.6,800,Petrol,1,5172.28,Volkswagen,Automatic,Silver,Full,2,No,19
13.21,5000,Petrol,5,8117.19,Toyota,Manual,Gray,No Record,1,Yes,19
22.36,2000,Diesel,1,8401.5,Tesla,Manual,Blue,Full,0,Yes,11
25.25,3000,Diesel,4,7333.1,Chevrolet,Automatic,Gray,Full,1,Yes,20
10.87,3000,Petrol,4,7986.23,Honda,Manual,Silver,Full,1,Yes,5
19.39,1200,Petrol,5,5119.76,Ford,Manual,Blue,Full,1,Yes,8
16.48,1800,Diesel,3,9315.03,Kia,Manual,Gray,No Record,1,Yes,3
21.5,5000,Petrol,3,13095.73,Ford,Automatic,Blue,No Record,0,Yes,6
11.92,1500,Petrol,2,4500.31,Tesla,Automatic,Gray,Partial,1,No,24
26.14,800,Petrol,4,3403.0,BMW,Automatic,Black,Full,1,Yes,30
9.96,4000,Petrol,2,5470.93,Chevrolet,Manual,Blue,Full,1,Yes,30
16.78,1800,Petrol,4,7977.88,BMW,Automatic,Red,Partial,0,Yes,6
20.17,1000,Petrol,2,10722.17,Honda,Manual,White,Full,1,Yes,4
14.57,1000,Diesel,3,5035.78,Chevrolet,Manual,Blue,Full,0,Yes,6
13.78,2500,Petrol,4,6229.3,Tesla,Manual,Red,Full,0,No,11
19.11,1500,Diesel,3,4944.42,Toyota,Manual,Red,Full,0,Yes,18
18.39,800,Diesel,1,5055.62,Hyundai,Manual,Silver,Full,1,Yes,22
18.03,1800,Petrol,3,4177.78,Nissan,Automatic,Red,Full,0,Yes,28
22.29,1000,Petrol,4,3210.27,Tesla,Manual,Silver,Full,2,Yes,24
16.03,2500,Diesel,1,7159.23,Toyota,Automatic,Red,Partial,0,Yes,25
19.6,4000,Petrol,2,9439.56,Ford,Automatic,Black,Full,0,Yes,23
15.47,800,Petrol,5,6328.71,Honda,Manual,Black,Full,0,Yes,4
13.75,1000,Petrol,4,3144.73,Ford,Automatic,Black,Full,1,No,22
16.58,2000,Petrol,5,3698.34,Ford,Automatic,Black,Full,0,No,26
15.51,3000,Diesel,5,4076.74,Ford,Manual,Gray,Partial,0,No,30
15.76,2500,Diesel,1,8725.91,Toyota,Manual,Black,Full,0,Yes,12
23.83,4000,Petrol,2,8816.8,Ford,Automatic,Red,No Record,0,Yes,21
16.73,1000,Electric,3,8395.17,Honda,Manual,Blue,No Record,0,Yes,19
14.69,4000,Petrol,1,11988.09,Volkswagen,Manual,Blue,No Record,3,No,7
18.14,1500,Diesel,2,6400.47,Nissan,Manual,Blue,No Record,0,Yes,16
18.52,1200,Diesel,3,6669.8,Tesla,Manual,Black,Partial,1,Yes,4
12.07,2500,Diesel,3,9136.35,Kia,Automatic,Black,No Record,0,Yes,9
16.51,1800,Petrol,2,7232.83,Chevrolet,Automatic,Red,Partial,1,Yes,7
16.31,1800,Diesel,3,4156.57,Toyota,Manual,Gray,Full,0,Yes,22
17.14,1000,Petrol,4,4747.56,Chevrolet,Automatic,Blue,Partial,0,Yes,11
21.63,2000,Petrol,4,7472.23,Tesla,Manual,Gray,Partial,0,Yes,14
18.68,2000,Petrol,1,9225.02,Tesla,Manual,Silver,Full,0,Yes,14
24.14,1500,Diesel,3,9107.15,Kia,Manual,Black,Partial,1,Yes,5
17.94,1800,Petrol,3,5543.51,Chevrolet,Automatic,White,No Record,1,Yes,11
26.88,2500,Petrol,2,8217.09,Honda,Automatic,White,Partial,1,Yes,19
15.7,3000,Petrol,4,5452.33,BMW,Manual,White,Full,1,Yes,24
14.15,2000,Petrol,5,3395.55,Tesla,Manual,Red,Full,0,No,29
20.74,1800,Petrol,1,5346.39,BMW,Manual,Silver,Partial,1,Yes,28
24.82,1200,Electric,4,9603.61,Tesla,Automatic,Black,Full,0,Yes,14
11.11,2500,Petrol,2,4877.33,Nissan,Automatic,Red,Partial,0,Yes,26
17.02,3000,Petrol,1,8247.67,BMW,Manual,Blue,Full,1,Yes,14
14.95,1200,Diesel,5,6501.41,Volkswagen,Manual,Blue,Full,1,Yes,7
18.71,1800,Diesel,1,7464.01,Toyota,Manual,Black,No Record,1,No,14
18.05,1000,Diesel,4,7100.61,Kia,Automatic,Gray,Full,1,Yes,4
24.73,5000,Diesel,5,9865.43,Toyota,Automatic,Black,No Record,0,Yes,14
17.46,5000,Petrol,2,8441.87,Kia,Automatic,White,No Record,1,Yes,29
24.87,1500,Diesel,1,4267.19,BMW,Automatic,Silver,Full,0,Yes,29
16.42,1500,Diesel,4,6146.92,Tesla,Manual,White,No Record,0,No,3
22.63,3000,Diesel,2,9338.81,Tesla,Automatic,Silver,Partial,0,Yes,9
19.14,1200,Electric,5,7783.0,Volkswagen,Automatic,Red,Full,0,Yes,8
26.65,1800,Diesel,1,6608.71,Chevrolet,Manual,Red,Full,1,No,26
10.61,1800,Diesel,3,2124.15,Tesla,Automatic,Gray,No Record,0,No,30
12.18,1000,Petrol,4,1000.0,Ford,Automatic,Silver,Partial,0,Yes,30
27.16,4000,Petrol,4,10826.27,Nissan,Automatic,Red,Full,1,Yes,12
14.33,1500,Electric,3,8231.07,BMW,Automatic,Silver,Full,1,Yes,29
14.65,4000,Diesel,2,10884.89,BMW,Manual,Gray,Partial,1,Yes,10
13.62,4000,Petrol,4,8318.11,Kia,Automatic,Gray,Full,0,No,19
23.74,1000,Diesel,2,7481.52,Chevrolet,Manual,Gray,Full,0,No,5
11.73,4000,Petrol,5,4327.06,Volkswagen,Manual,Red,Partial,0,No,25
18.11,4000,Diesel,3,10423.83,Nissan,Manual,Gray,Partial,1,No,8
16.67,1000,Diesel,2,2578.19,Kia,Manual,Blue,Full,0,No,27
23.18,2000,Petrol,5,8254.88,Honda,Manual,Black,Partial,0,No,8
15.18,4000,Petrol,1,11043.7,Nissan,Manual,Red,Full,2,No,20
20.08,1500,Petrol,4,5849.54,Nissan,Manual,Red,Partial,0,Yes,7
12.14,1000,Diesel,3,5986.14,Chevrolet,Manual,Blue,Full,0,Yes,4
29.37,2500,Diesel,1,8463.91,Nissan,Automatic,White,Partial,0,Yes,14
16.8,4000,Diesel,1,9744.49,Volkswagen,Automatic,Blue,Partial,0,Yes,25
18.04,2000,Diesel,1,10013.68,Tesla,Manual,Red,Full,0,Yes,7
26.27,1500,Petrol,2,6222.49,BMW,Automatic,Blue,Partial,0,No,26
15.07,800,Petrol,4,4827.66,Honda,Manual,Blue,No Record,0,No,11
26.34,1500,Diesel,3,4666.49,Tesla,Manual,Gray,No Record,0,Yes,29
15.94,1200,Electric,4,6607.53,Kia,Manual,Blue,Partial,0,Yes,25
21.36,2500,Petrol,4,7839.37,Tesla,Automatic,Silver,No Record,0,No,9
15.14,5000,Petrol,4,9093.77,Volkswagen,Manual,Blue,Partial,1,Yes,20
11.22,1800,Petrol,5,5700.81,Ford,Manual,Blue,Full,0,No,15
20.07,1200,Diesel,5,5390.65,Tesla,Automatic,Red,Partial,0,Yes,15
21.2,1000,Petrol,5,1623.57,Nissan,Manual,Silver,No Record,0,Yes,30
11.42,1000,Electric,5,7025.46,Tesla,Manual,White,Full,0,No,22
16.46,1800,Petrol,4,6679.71,Hyundai,Manual,Silver,Full,1,Yes,3
24.0,3000,Petrol,4,11863.98,Kia,Manual,Silver,No Record,0,Yes,4
21.0,3000,Petrol,3,5620.37,Hyundai,Manual,Silver,Partial,0,Yes,25
16.02,1800,Diesel,3,5877.78,Kia,Automatic,Red,Full,1,No,15
15.01,1000,Petrol,3,7106.65,Toyota,Manual,Gray,Partial,0,Yes,2
27.74,1500,Petrol,3,5376.83,Nissan,Manual,Black,Full,1,No,28
10.77,2500,Petrol,3,7225.04,Nissan,Automatic,Red,Full,0,Yes,11
17.7,2000,Diesel,5,8597.51,Nissan,Manual,Red,Full,0,Yes,3
10.68,5000,Petrol,4,11773.67,Honda,Automatic,White,Full,0,Yes,4
24.57,2500,Diesel,3,6813.8,Tesla,Automatic,Gray,Partial,1,No,27
17.96,1800,Petrol,2,6599.46,Toyota,Automatic,White,Full,1,Yes,12
18.89,1000,Electric,3,10486.5,Volkswagen,Manual,White,No Record,0,No,5
31.84,3000,Diesel,3,7329.53,Chevrolet,Automatic,Black,Partial,0,Yes,28
15.03,1000,Petrol,4,5793.77,Toyota,Manual,Silver,Full,0,Yes,12
26.74,3000,Electric,5,13151.17,Hyundai,Automatic,Black,Full,1,Yes,11
16.05,2500,Petrol,1,6804.34,Honda,Manual,Silver,No Record,0,Yes,24
16.83,1200,Diesel,4,5843.69,Toyota,Manual,Black,Partial,1,No,11
31.19,1500,Petrol,5,5627.02,Toyota,Automatic,Gray,Full,1,Yes,22
17.19,2500,Petrol,2,5392.91,Hyundai,Automatic,Red,Full,0,Yes,30
11.13,1500,Petrol,1,4565.23,BMW,Automatic,Red,Full,0,Yes,23
19.41,4000,Diesel,5,6246.07,Hyundai,Manual,Silver,Partial,1,Yes,24
17.14,2500,Petrol,5,5845.1,Kia,Manual,Silver,Partial,0,Yes,13
19.84,800,Diesel,4,3376.86,Toyota,Automatic,Silver,No Record,0,No,23
17.33,800,Petrol,5,2862.5,Honda,Manual,Blue,No Record,2,Yes,30
29.08,1500,Diesel,3,6732.29,Honda,Manual,White,Full,0,Yes,20
20.78,4000,Diesel,5,11832.04,Hyundai,Manual,Blue,No Record,0,Yes,3
12.63,1500,Diesel,1,5772.35,Nissan,Manual,Blue,No Record,0,Yes,6
18.62,1800,Diesel,5,8047.7,Volkswagen,Automatic,Red,Partial,0,No,6
14.0,800,Petrol,2,5737.28,Chevrolet,Manual,Gray,Full,0,Yes,13
16.76,1000,Petrol,3,7000.67,Nissan,Manual,Red,Full,0,Yes,8
13.45,1500,Petrol,1,3420.68,BMW,Manual,Silver,Full,0,No,21
